货物编号,申报状态,海关状态,货检状态,申报数量,实收数量
BG001,未申报,扣留,待检,100,100
BG002,已申报,扣留,合格,80,80
BG003,已申报,扣留,待检,60,55
BG004,已申报,扣留,不合格,40,40
BG005,已申报,查验,待检,120,118
BG006,已申报,放行,不合格,50,50
BG007,已申报,放行,待检,70,70
BG008,已申报,放行,合格,90,95
BG009,已申报,放行,合格,100,100
BG010,已申报,放行,合格,100.5,99.5
BG011,未申报,放行,合格,20,20
BG012,未申报,查验,待检,30,30
BG013,未申报,扣留,合格,40,40
BG014,已申报,查验,合格,50,50
BG015,已申报,查验,不合格,60,60
BG016,已完成,放行,合格,70,70
BG017,已申报,旅行,合格,80,80
BG018,已申报,放行,优秀,90,90
BG019,已申报,放行,合格,abc,100
BG020,已申报,放行,合格,100,xyz
BG021,已申报,放行,合格,0,100
BG022,已申报,放行,合格,100,0
BG023,已申报,放行,合格,-5,100
BG024,已申报,放行,合格,100,-5
BG025,已申报,放行,,100,100
BG026,已申报,放行,合格,100,100,备注
