设备编号,使用状态,保养状态,已运行小时,保养周期小时
EQ001,在用,未到期,799,800
EQ002,停机,未到期,799,800
EQ003,在用,待保养,800,800
EQ004,停机,待保养,800,800
EQ005,在用,待保养,801,800
EQ006,停机,待保养,900,800
EQ007,在用,已保养,0,500
EQ008,停机,已保养,0,500
EQ009,在用,未到期,0,100
EQ010,停机,待保养,1000,1000
EQ011,在用,待保养,2000,1000
 EQ012 , 在用 , 未到期 , 499 , 500 
EQ013,在用,未到期,700
EQ014,在用,未到期,700,800,备注
EQ015,在用,,700,800
EQ016,检修,未到期,700,800
EQ017,在用,已到期,800,800
EQ018,在用,未到期,abc,800
EQ019,在用,未到期,700,8小时
EQ020,在用,未到期,-1,800
EQ021,在用,待保养,2001,800
EQ022,在用,待保养,800,99
EQ023,停机,待保养,1001,1001
EQ024,在用,未到期,800,800
EQ025,停机,待保养,799,800
EQ026,在用,已保养,1,500
EQ027,在用,未到期,799.5,800
