运单编号,发运状态,交接状态,计划时效小时,实际运输小时
WB001,未发运,未签收,8,0
WB002,未发运,未签收,72,0
WB003,已发运,未签收,8,7
WB004,已发运,未签收,8,8
WB005,已发运,拒收,12,6
WB006,已发运,拒收,12,12
WB007,已发运,已签收,8,5
WB008,已发运,已签收,8,8
WB009,已发运,已签收,72,1
WB010,已发运,未签收,8,9
WB011,已发运,拒收,10,11
WB012,已发运,已签收,20,21
WB013,未发运,已签收,8,0
WB014,未发运,拒收,8,0
WB015,未发运,未签收,8,1
WB016,已发运,未签收,8,0
WB017,待发运,未签收,8,0
WB018,已发运,已交接,8,5
WB019,已发运,未签收,八,5
WB020,已发运,未签收,8,五
WB021,已发运,未签收,3,2
WB022,已发运,未签收,73,20
WB023,已发运,已签收,8,-1
WB024,已发运,已签收,8,121
WB025,已发运,,8,5
WB026,已发运,已签收,8
