结算单号,交付状态,验收状态,合同金额,已结算金额,本次结算金额
JS001,已交付,通过,10000,6000,4000
JS002,已交付,通过,10000,6000,4001
JS003,未交付,待验收,10000,0,2000
JS004,已交付,不通过,15000,5000,3000
JS005,已交付,待验收,12000,2000,2500
JS006,已交付,通过,20000,7500,5000
JS007,未交付,待验收,8000,7000,1500
JS008,已交付,不通过,9000,8000,1500
JS009, 已交付 , 待验收 ,10000.5,6000.2,4000.3
JS010,已交付,不通过,18000,12000,6000
JS011,已交付,通过,10000,6000
JS012,已交付,,10000,3000,2000
JS013,交付中,待验收,10000,3000,2000
JS014,已交付,已验收,10000,3000,2000
JS015,已交付,通过,abc,3000,2000
JS016,已交付,通过,0,0,1000
JS017,已交付,通过,10000,-1,1000
JS018,已交付,通过,10000,5000,0
JS019,未交付,通过,10000,3000,2000
JS020,未交付,不通过,10000,3000,2000
