订单编号,订单确认状态,库存锁定状态,质检状态,申请数量,实际分配数量
SO001,未确认,未锁定,待检,100,0
SO002,已确认,未锁定,待检,200,0
SO003,已确认,已锁定,合格,300,0
SO004,已确认,已锁定,待检,150,0
SO005,已确认,已锁定,不合格,80,0
SO006,已确认,已锁定,待检,100,60
SO007,已确认,已锁定,不合格,120,100
SO008,已确认,已锁定,合格,100,99
SO009,已确认,已锁定,合格,100,100
SO010,已确认,已锁定,合格,100,101
SO011,已确认,已锁定,待检,50,70
SO012,已确认,已锁定,不合格,40,50
SO013,已确认,已锁定,合格,5000,5000
SO014,已确认,已锁定,合格,100
SO015,已确认,,待检,100,0
SO016,确认,已锁定,合格,100,80
SO017,已确认,锁定,合格,100,80
SO018,已确认,已锁定,通过,100,80
SO019,已确认,已锁定,合格,abc,80
SO020,已确认,已锁定,合格,100,8.5
SO021,已确认,已锁定,合格,0,0
SO022,已确认,已锁定,合格,5001,100
SO023,已确认,已锁定,合格,100,-1
SO024,已确认,已锁定,合格,100,5001
SO025,未确认,已锁定,待检,100,0
SO026,已确认,未锁定,合格,100,0
SO027,未确认,未锁定,待检,100,1
SO028,已确认,未锁定,待检,100,10
